"zip","id","formattedAddress","addressLine1","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","status","price","listedDate","removedDate","daysOnMarket","addressLine2","lotSize","yearBuilt"
"1","320-Railroad-St,-Union,-SC-29379","320 Railroad St, Union, SC 29379","320 Railroad St","Union","SC","29379","Union",34.7139,-81.5944,"Single Family",NA,1,1,NA,"Inactive",850,"2023-05-08T00:00:00.000Z","2024-04-30T00:00:00.000Z",358,NA,NA,NA
"1","205-Wilbur-St,-Union,-SC-29379","205 Wilbur St, Union, SC 29379","205 Wilbur St","Union","SC","29379","Union",34.7083,-81.6309,"Single Family",NA,1,1,NA,"Inactive",600,"2024-03-11T00:00:00.000Z","2024-04-26T00:00:00.000Z",46,NA,NA,NA
"1","216-Westview-Dr,-Union,-SC-29379","216 Westview Dr, Union, SC 29379","216 Westview Dr","Union","SC","29379","Union",34.7075,-81.6335,"Single Family",NA,2,1,NA,"Inactive",600,"2024-01-03T00:00:00.000Z","2024-03-13T00:00:00.000Z",70,NA,NA,NA
"1","347-Old-Ferry-Rd,-Union,-SC-29379","347 Old Ferry Rd, Union, SC 29379","347 Old Ferry Rd","Union","SC","29379","Union",34.736,-81.5344,"Single Family",NA,3,2,1568,"Inactive",1385,"2024-02-16T00:00:00.000Z","2024-02-26T00:00:00.000Z",10,NA,NA,NA
"1","105-Sycamore-Ln,-Union,-SC-29379","105 Sycamore Ln, Union, SC 29379","105 Sycamore Ln","Union","SC","29379","Union",34.7239,-81.6079,"Single Family",NA,3,1,1216,"Inactive",950,"2023-11-13T00:00:00.000Z","2024-01-03T00:00:00.000Z",51,NA,NA,NA
"1","114-Simmons-St,-Union,-SC-29379","114 Simmons St, Union, SC 29379","114 Simmons St","Union","SC","29379","Union",34.7117,-81.6377,"Single Family",NA,3,2,1728,"Inactive",1275,"2023-12-05T00:00:00.000Z","2023-12-14T00:00:00.000Z",9,NA,NA,NA
"1","1010-N-Pinckney-St,-Union,-SC-29379","1010 N Pinckney St, Union, SC 29379","1010 N Pinckney St","Union","SC","29379","Union",34.7276,-81.6287,"Single Family",NA,2,1,964,"Inactive",900,"2023-10-03T00:00:00.000Z","2023-10-22T00:00:00.000Z",19,NA,NA,NA
"1","108-Jenkins-St,-Union,-SC-29379","108 Jenkins St, Union, SC 29379","108 Jenkins St","Union","SC","29379","Union",34.7055,-81.6384,"Single Family",NA,3,1.5,NA,"Inactive",1200,"2023-04-12T00:00:00.000Z","2023-08-13T00:00:00.000Z",123,NA,NA,NA
"1","116-Mark-St,-Union,-SC-29379","116 Mark St, Union, SC 29379","116 Mark St","Union","SC","29379","Union",34.7242,-81.5943,"Single Family",NA,3,1,1040,"Inactive",550,"2023-02-17T00:00:00.000Z","2023-02-23T00:00:00.000Z",6,NA,NA,NA
"1","108-Harold-St,-Union,-SC-29379","108 Harold St, Union, SC 29379","108 Harold St","Union","SC","29379","Union",34.7072,-81.6269,"Single Family",NA,3,1,1225,"Inactive",1250,"2023-01-11T00:00:00.000Z","2023-02-07T00:00:00.000Z",27,NA,NA,NA
"1","405-Toney-Rd,-Unit-405,-Union,-SC-29379","405 Toney Rd, Unit 405, Union, SC 29379","405 Toney Rd","Union","SC","29379","Union",34.7388,-81.648,"Apartment",NA,3,2,1232,"Inactive",1200,"2022-12-26T19:02:56.000Z","2023-01-05T03:40:55.048Z",10,"Unit 405",NA,NA
"1","218-Westview-Dr,-Union,-SC-29379","218 Westview Dr, Union, SC 29379","218 Westview Dr","Union","SC","29379","Union",34.7071,-81.6336,"Single Family",NA,2,1,952,"Inactive",545,"2022-12-13T22:03:57.000Z","2022-12-30T03:43:42.863Z",17,NA,NA,NA
"1","505-W-South-St,-Union,-SC-29379","505 W South St, Union, SC 29379","505 W South St","Union","SC","29379","Union",34.7111,-81.6319,"Single Family",NA,2,1,1295,"Inactive",936,"2022-11-01T07:42:55.000Z","2022-11-16T03:47:26.748Z",15,NA,NA,NA
"1","1209-Arthur-Blvd,-Unit-A,-Union,-SC-29379","1209 Arthur Blvd, Unit A, Union, SC 29379","1209 Arthur Blvd","Union","SC","29379","Union",34.7188,-81.6074,"Single Family",NA,3,1,NA,"Inactive",625,"2021-08-17T01:35:38.829Z","2022-08-08T04:58:24.861Z",357,"Unit A",NA,NA
"1","406-Blue-Ridge-Rd,-Union,-SC-29379","406 Blue Ridge Rd, Union, SC 29379","406 Blue Ridge Rd","Union","SC","29379","Union",34.7785,-81.6309,"Single Family",NA,3,2.5,2000,"Inactive",1150,"2022-02-06T00:04:47.674Z","2022-08-08T04:51:49.262Z",184,NA,NA,NA
"1","1209-Arthur-Blvd,-Union,-SC-29379","1209 Arthur Blvd, Union, SC 29379","1209 Arthur Blvd","Union","SC","29379","Union",34.7188,-81.6074,"Single Family",NA,3,1,NA,"Inactive",665,"2021-08-09T00:41:04.950Z","2022-08-08T03:22:21.108Z",365,NA,NA,NA
"1","2112-Lockhart-Hwy,-Union,-SC-29379","2112 Lockhart Hwy, Union, SC 29379","2112 Lockhart Hwy","Union","SC","29379","Union",34.7197,-81.5924,"Single Family",NA,2,1,NA,"Inactive",600,"2021-07-12T01:07:57.476Z","2022-08-06T22:47:28.785Z",391,NA,NA,NA
"1","207-E-Academy-St,-Union,-SC-29379","207 E Academy St, Union, SC 29379","207 E Academy St","Union","SC","29379","Union",34.7175,-81.6217,"Single Family",NA,7,3,NA,"Inactive",2000,"2021-02-19T00:22:16.633Z","2022-08-06T18:05:17.636Z",534,NA,NA,NA
"1","97-Subertown-Rd,-Apt-I27,-Whitmire,-SC-29178","97 Subertown Rd, Apt I27, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4986,-81.607,"Single Family","Standard",2,1,NA,"Active",775,"2025-01-22T00:00:00.000Z","list()",316,"Apt I27",NA,NA
"1","97-Subertown-Rd,-Apt-B6,-Whitmire,-SC-29178","97 Subertown Rd, Apt B6, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4983,-81.6067,"Single Family","Standard",2,1.5,NA,"Active",875,"2025-11-06T00:00:00.000Z","list()",28,"Apt B6",NA,NA
"1","97-Subertown-Rd,-Apt-B5,-Whitmire,-SC-29178","97 Subertown Rd, Apt B5, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4984,-81.6068,"Single Family","Standard",3,1.5,1200,"Inactive",895,"2025-10-14T00:00:00.000Z","2025-11-21T00:00:00.000Z",38,"Apt B5",NA,NA
"1","97-Subertown-Rd,-Apt-H25,-Whitmire,-SC-29178","97 Subertown Rd, Apt H25, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4989,-81.6071,"Single Family","Standard",2,1,750,"Inactive",750,"2024-10-01T00:00:00.000Z","2025-07-18T00:00:00.000Z",290,"Apt H25",NA,NA
"1","97-Subertown-Rd,-Apt-F22,-Whitmire,-SC-29178","97 Subertown Rd, Apt F22, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4988,-81.6066,"Apartment","Standard",2,1,NA,"Inactive",795,"2025-01-17T00:00:00.000Z","2025-02-15T00:00:00.000Z",29,"Apt F22",NA,NA
"1","97-Subertown-Rd,-Apt-C9,-Whitmire,-SC-29178","97 Subertown Rd, Apt C9, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4983,-81.607,"Townhouse","Standard",3,1.5,NA,"Inactive",895,"2024-02-12T00:00:00.000Z","2024-10-23T00:00:00.000Z",254,"Apt C9",NA,NA
"1","97-Subertown-Rd,-Apt-A3,-Whitmire,-SC-29178","97 Subertown Rd, Apt A3, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4985,-81.6065,"Townhouse","Standard",2,1.5,1400,"Inactive",825,"2023-03-06T00:00:00.000Z","2024-08-24T00:00:00.000Z",537,"Apt A3",NA,NA
"1","97-Subertown-Rd,-Apt-C10,-Whitmire,-SC-29178","97 Subertown Rd, Apt C10, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4982,-81.6071,"Single Family",NA,3,1.5,NA,"Inactive",825,"2023-07-03T00:00:00.000Z","2024-07-02T00:00:00.000Z",365,"Apt C10",NA,NA
"1","97-Subertown-Rd,-Apt-C12,-Whitmire,-SC-29178","97 Subertown Rd, Apt C12, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4982,-81.6072,"Single Family",NA,3,1.5,1250,"Inactive",825,"2024-05-17T00:00:00.000Z","2024-07-02T00:00:00.000Z",46,"Apt C12",NA,NA
"1","97-Subertown-Rd,-Apt-H26,-Whitmire,-SC-29178","97 Subertown Rd, Apt H26, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4988,-81.6071,"Single Family",NA,2,1,NA,"Inactive",725,"2024-02-12T00:00:00.000Z","2024-03-22T00:00:00.000Z",39,"Apt H26",NA,NA
"1","97-Subertown-Rd,-Apt-A2,-Whitmire,-SC-29178","97 Subertown Rd, Apt A2, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4985,-81.6064,"Townhouse",NA,2,1.5,NA,"Inactive",795,"2023-11-20T00:00:00.000Z","2024-01-10T00:00:00.000Z",51,"Apt A2",NA,NA
"1","97-Subertown-Rd,-Apt-F21,-Whitmire,-SC-29178","97 Subertown Rd, Apt F21, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4988,-81.6066,"Single Family",NA,2,1,NA,"Inactive",825,"2023-08-18T00:00:00.000Z","2023-08-26T00:00:00.000Z",8,"Apt F21",NA,NA
"1","97-Subertown-Rd,-Apt-C11,-Whitmire,-SC-29178","97 Subertown Rd, Apt C11, Whitmire, SC 29178","97 Subertown Rd","Whitmire","SC","29178","Newberry",34.4986,-81.6055,"Townhouse",NA,3,1.5,NA,"Inactive",850,"2023-07-24T00:00:00.000Z","2023-08-03T00:00:00.000Z",10,"Apt C11",NA,NA
