"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket"
"1","1140-Marcus-St,-Fort-Mill,-SC-29707","1140 Marcus St, Fort Mill, SC 29707","1140 Marcus St",NA,"Fort Mill","SC","29707","Lancaster",34.9999,-80.8916,"Single Family","Standard",3,1.5,1855,NA,2016,"Inactive",2079,"2025-07-15T00:00:00.000Z","2025-10-01T00:00:00.000Z",78
"1","1362-Rosemont-Dr,-Indian-Land,-SC-29707","1362 Rosemont Dr, Indian Land, SC 29707","1362 Rosemont Dr",NA,"Indian Land","SC","29707","Lancaster",35.009,-80.8789,"Single Family","Standard",6,3,NA,NA,NA,"Inactive",4995,"2025-09-26T00:00:00.000Z","2025-09-27T00:00:00.000Z",1
"1","3506-Buster-Ln,---9-308,-Fort-Mill,-SC-29707","3506 Buster Ln, # 9-308, Fort Mill, SC 29707","3506 Buster Ln","# 9-308","Fort Mill","SC","29707","Lancaster",34.9979,-80.8703,"Apartment","Standard",3,2,1367,NA,NA,"Inactive",2120,"2025-09-26T00:00:00.000Z","2025-09-27T00:00:00.000Z",1
"1","3506-Buster-Ln,---5-307,-Fort-Mill,-SC-29707","3506 Buster Ln, # 5-307, Fort Mill, SC 29707","3506 Buster Ln","# 5-307","Fort Mill","SC","29707","Lancaster",34.9979,-80.8703,"Apartment","Standard",1,1,738,NA,NA,"Inactive",1929,"2025-09-26T00:00:00.000Z","2025-09-27T00:00:00.000Z",1
"1","2114-Clarion-Dr,-Fort-Mill,-SC-29707","2114 Clarion Dr, Fort Mill, SC 29707","2114 Clarion Dr",NA,"Fort Mill","SC","29707","Lancaster",34.9469,-80.8369,"Single Family","Standard",4,3.5,4362,23958,2016,"Inactive",3999,"2025-08-04T00:00:00.000Z","2025-09-27T00:00:00.000Z",54
"1","3824-Amalia-Pl,-Indian-Land,-SC-29707","3824 Amalia Pl, Indian Land, SC 29707","3824 Amalia Pl",NA,"Indian Land","SC","29707","Lancaster",34.9777,-80.8518,"Single Family","Standard",3,3,NA,NA,NA,"Inactive",2499,"2025-09-25T00:00:00.000Z","2025-09-26T00:00:00.000Z",1
"1","960-Forbes-Rd,-Indian-Land,-SC-29707","960 Forbes Rd, Indian Land, SC 29707","960 Forbes Rd",NA,"Indian Land","SC","29707","Lancaster",35.0616,-80.8955,"Single Family","Standard",5,4.5,3753,10019,2013,"Inactive",3495,"2025-08-14T00:00:00.000Z","2025-09-25T00:00:00.000Z",42
"1","3206-Salud-Ln,-Fort-Mill,-SC-29707","3206 Salud Ln, Fort Mill, SC 29707","3206 Salud Ln",NA,"Fort Mill","SC","29707","Lancaster",35.0014,-80.8657,"Single Family","Standard",3,2,1187,3485,2006,"Inactive",2100,"2025-06-25T00:00:00.000Z","2025-09-21T00:00:00.000Z",88
"1","8039-Scarlet-Oak-Ter,-Indian-Land,-SC-29707","8039 Scarlet Oak Ter, Indian Land, SC 29707","8039 Scarlet Oak Ter",NA,"Indian Land","SC","29707","Lancaster",34.9403,-80.8321,"Townhouse","Standard",3,2.5,1833,2614,2017,"Inactive",2200,"2025-06-10T00:00:00.000Z","2025-09-21T00:00:00.000Z",103
"1","3506-Buster-Ln,---3-105,-Fort-Mill,-SC-29707","3506 Buster Ln, # 3-105, Fort Mill, SC 29707","3506 Buster Ln","# 3-105","Fort Mill","SC","29707","Lancaster",34.9979,-80.8703,"Apartment","Standard",2,2,1018,NA,NA,"Inactive",1937,"2025-09-17T00:00:00.000Z","2025-09-18T00:00:00.000Z",1
"1","1241-Columbia-Cir,---B2,-Indian-Land,-SC-29707","1241 Columbia Cir, # B2, Indian Land, SC 29707","1241 Columbia Cir","# B2","Indian Land","SC","29707","Lancaster",35.0047,-80.878,"Apartment","Standard",2,2,1232,NA,NA,"Inactive",2900,"2025-09-11T00:00:00.000Z","2025-09-12T00:00:00.000Z",1
"1","9565-Man-O-War-Rd,-Indian-Land,-SC-29707","9565 Man O War Rd, Indian Land, SC 29707","9565 Man O War Rd",NA,"Indian Land","SC","29707","Lancaster",34.9969,-80.8447,"Single Family","Standard",3,2,1860,43996,1980,"Inactive",2500,"2025-07-07T00:00:00.000Z","2025-09-10T00:00:00.000Z",65
"1","7651-Fenn-Way,-Fort-Mill,-SC-29707","7651 Fenn Way, Fort Mill, SC 29707","7651 Fenn Way",NA,"Fort Mill","SC","29707","Lancaster",35.0694,-80.9031,"Single Family","Standard",5,3.5,3640,10019,2022,"Inactive",3295,"2025-07-22T00:00:00.000Z","2025-09-09T00:00:00.000Z",49
