"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket","hoa.fee"
"1","1051-Horizon-Ln,-Chester,-SC-29706","1051 Horizon Ln, Chester, SC 29706","1051 Horizon Ln",NA,"Chester","SC","29706","Chester",34.7206,-81.1835,"Single Family","New Construction",5,3,2368,5184,2025,"Inactive",325000,"2025-06-14T00:00:00.000Z","2025-06-19T00:00:00.000Z",5,67
"1","121-Oak-St,-Chester,-SC-29706","121 Oak St, Chester, SC 29706","121 Oak St",NA,"Chester","SC","29706","Chester",34.7122,-81.2014,"Single Family","Standard",3,2,1141,4792,1950,"Inactive",139900,"2025-04-02T00:00:00.000Z","2025-06-18T00:00:00.000Z",77,NA
"1","3641-Songbird-Ln,-Chester,-SC-29706","3641 Songbird Ln, Chester, SC 29706","3641 Songbird Ln",NA,"Chester","SC","29706","Chester",34.7899,-81.1306,"Single Family","Standard",0,NA,1092,15682,NA,"Inactive",5000,"2025-05-15T00:00:00.000Z","2025-06-17T00:00:00.000Z",33,NA
"1","529-Roundtree-Cir,-Unit-44,-Chester,-SC-29706","529 Roundtree Cir, Unit 44, Chester, SC 29706","529 Roundtree Cir","Unit 44","Chester","SC","29706","Chester",34.72,-81.2034,"Single Family","Standard",3,1.5,1325,10454,1970,"Inactive",118900,"2024-12-04T00:00:00.000Z","2025-06-13T00:00:00.000Z",191,NA
"1","119-Hemphill-Ave,-Chester,-SC-29706","119 Hemphill Ave, Chester, SC 29706","119 Hemphill Ave",NA,"Chester","SC","29706","Chester",34.7128,-81.2095,"Single Family","Standard",4,3,2506,15246,1945,"Inactive",315000,"2025-02-11T00:00:00.000Z","2025-06-11T00:00:00.000Z",120,NA
"1","2455-Wellridge-Rd,-Chester,-SC-29706","2455 Wellridge Rd, Chester, SC 29706","2455 Wellridge Rd",NA,"Chester","SC","29706","Chester",34.6259,-81.0796,"Single Family","Standard",3,2,1282,91912,1910,"Inactive",209900,"2025-03-13T00:00:00.000Z","2025-06-11T00:00:00.000Z",90,NA
"1","1044-Horizon-Ln,-Chester,-SC-29706","1044 Horizon Ln, Chester, SC 29706","1044 Horizon Ln",NA,"Chester","SC","29706","Chester",34.7201,-81.1838,"Single Family","New Construction",5,3,2368,5663,2025,"Inactive",316990,"2025-05-16T00:00:00.000Z","2025-06-11T00:00:00.000Z",26,67
"1","628-Stamie-Dr,-Chester,-SC-29706","628 Stamie Dr, Chester, SC 29706","628 Stamie Dr",NA,"Chester","SC","29706","Chester",34.683,-81.1866,"Single Family","Standard",2,2,1518,24829,1959,"Inactive",225000,"2025-06-07T00:00:00.000Z","2025-06-11T00:00:00.000Z",4,NA
"1","Orrs-Station-Rd,-Chester,-SC-29706","Orrs Station Rd, Chester, SC 29706","Orrs Station Rd",NA,"Chester","SC","29706","Chester",34.7105,-81.1262,"Land","Standard",NA,NA,NA,578477,NA,"Inactive",175000,"2025-02-07T00:00:00.000Z","2025-06-10T00:00:00.000Z",123,NA
"1","818-N-Naughton-St,-Chester,-SC-29706","818 N Naughton St, Chester, SC 29706","818 N Naughton St",NA,"Chester","SC","29706","York",34.9955,-81.2054,"Single Family","New Construction",5,3,2368,NA,NA,"Inactive",315000,"2025-05-27T00:00:00.000Z","2025-06-07T00:00:00.000Z",11,NA
"1","1317-Liberty-Rd,-Chester,-SC-29706","1317 Liberty Rd, Chester, SC 29706","1317 Liberty Rd",NA,"Chester","SC","29706","Chester",34.723,-81.2681,"Manufactured","Standard",3,2,1501,102366,2019,"Inactive",280000,"2025-03-20T00:00:00.000Z","2025-06-07T00:00:00.000Z",79,NA
"1","596-Armory-Rd,-Chester,-SC-29706","596 Armory Rd, Chester, SC 29706","596 Armory Rd",NA,"Chester","SC","29706","Chester",34.7242,-81.2256,"Single Family","Standard",3,2,2024,142006,1960,"Inactive",140000,"2024-11-25T00:00:00.000Z","2025-06-05T00:00:00.000Z",192,NA
"1","578-Sparkleberry-St,-Chester,-SC-29706","578 Sparkleberry St, Chester, SC 29706","578 Sparkleberry St",NA,"Chester","SC","29706","Chester",34.721,-81.1834,"Single Family","New Construction",5,3,2368,5184,2025,"Inactive",313990,"2025-05-08T00:00:00.000Z","2025-06-05T00:00:00.000Z",28,67
"1","146-Loomis-St,-Chester,-SC-29706","146 Loomis St, Chester, SC 29706","146 Loomis St",NA,"Chester","SC","29706","Chester",34.7099,-81.1997,"Single Family","Standard",2,1,784,5227,1945,"Inactive",65000,"2025-02-20T00:00:00.000Z","2025-06-04T00:00:00.000Z",104,NA
"1","585-N-Sparkleberry-St,-Chester,-SC-29706","585 N Sparkleberry St, Chester, SC 29706","585 N Sparkleberry St",NA,"Chester","SC","29706","Chester",34.7215,-81.1832,"Single Family","New Construction",3,2,1618,5227,2025,"Inactive",279000,"2025-03-24T00:00:00.000Z","2025-06-03T00:00:00.000Z",71,67
